ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2019-10-04,583.0140910135135,534.4810530625812,618.5342394316158,583.0140910135135,583.0140910135135,-9.394098930868502,-9.394098930868502,-9.394098930868502,-9.394098930868502,-9.394098930868502,-9.394098930868502,0.0,0.0,0.0,573.619992082645
2019-10-05,583.168226418919,540.5935728163934,626.956798867024,583.168226418919,583.168226418919,-2.0178762763343947,-2.0178762763343947,-2.0178762763343947,-2.0178762763343947,-2.0178762763343947,-2.0178762763343947,0.0,0.0,0.0,581.1503501425846
2019-10-07,583.4764972297297,529.5020805843623,614.0236484900491,583.4764972297297,583.4764972297297,-9.22147080829533,-9.22147080829533,-9.22147080829533,-9.22147080829533,-9.22147080829533,-9.22147080829533,0.0,0.0,0.0,574.2550264214344
2019-10-08,583.6306326351352,531.9453025720505,613.2864068136682,583.6306326351352,583.6306326351352,-10.175177444080989,-10.175177444080989,-10.175177444080989,-10.175177444080989,-10.175177444080989,-10.175177444080989,0.0,0.0,0.0,573.4554551910542
2019-10-09,583.7847680405406,530.4414070204657,619.6431573827888,583.7847680405406,583.7847680405406,-9.413089131776184,-9.413089131776184,-9.413089131776184,-9.413089131776184,-9.413089131776184,-9.413089131776184,0.0,0.0,0.0,574.3716789087645
2019-10-10,583.9389034459459,530.2130507593006,619.0419008948755,583.9389034459459,583.9389034459459,-9.276227400022288,-9.276227400022288,-9.276227400022288,-9.276227400022288,-9.276227400022288,-9.276227400022288,0.0,0.0,0.0,574.6626760459236
2019-10-11,584.0930388513514,530.3319248963461,616.6125135146642,584.0930388513514,584.0930388513514,-9.394098930856929,-9.394098930856929,-9.394098930856929,-9.394098930856929,-9.394098930856929,-9.394098930856929,0.0,0.0,0.0,574.6989399204945
2019-10-14,584.5554450675676,534.7866675252978,622.8827190061036,584.5554450675676,584.5554450675676,-9.221470808358376,-9.221470808358376,-9.221470808358376,-9.221470808358376,-9.221470808358376,-9.221470808358376,0.0,0.0,0.0,575.3339742592092
2019-10-15,584.709580472973,531.7062544045775,616.9592740908182,584.709580472973,584.709580472973,-10.175177444099006,-10.175177444099006,-10.175177444099006,-10.175177444099006,-10.175177444099006,-10.175177444099006,0.0,0.0,0.0,574.5344030288741
2019-10-16,584.8637158783783,534.0468662071677,618.9511430524396,584.8637158783783,584.8637158783783,-9.413089131844538,-9.413089131844538,-9.413089131844538,-9.413089131844538,-9.413089131844538,-9.413089131844538,0.0,0.0,0.0,575.4506267465338
